epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1197.52,1.01393,0.66565,0.95756,0.82523,0.72734,0.8036,0.55419,0.9236,0.58231,0.92615,0.000456863,0.000456863,0.000456863
43,1226.03,1.01741,0.66533,0.95636,0.83216,0.72201,0.8014,0.55777,0.91307,0.58382,0.92473,0.00044925,0.00044925,0.00044925
44,1254.23,1.00667,0.65856,0.95136,0.81567,0.73807,0.80545,0.55858,0.91487,0.57686,0.92259,0.000441637,0.000441637,0.000441637
45,1282.76,1.00382,0.65871,0.95308,0.82728,0.73416,0.80875,0.56507,0.90527,0.57226,0.92205,0.000434024,0.000434024,0.000434024
46,1311.08,0.99878,0.65436,0.95067,0.81808,0.74143,0.81335,0.57091,0.89652,0.5659,0.91808,0.000426411,0.000426411,0.000426411
47,1339.95,1.0018,0.65183,0.95042,0.83142,0.73846,0.8138,0.56457,0.89888,0.56847,0.91798,0.000418797,0.000418797,0.000418797
48,1367.81,1.0002,0.64984,0.94887,0.82379,0.74421,0.81364,0.57177,0.89573,0.56141,0.91656,0.000411184,0.000411184,0.000411184
49,1396.3,0.9902,0.64369,0.94756,0.82908,0.74088,0.81416,0.57528,0.89138,0.55935,0.91534,0.000403571,0.000403571,0.000403571
50,1424.9,0.98875,0.63839,0.94584,0.84108,0.73634,0.81817,0.57678,0.88663,0.55741,0.9149,0.000395958,0.000395958,0.000395958
51,1453.16,0.98264,0.63502,0.94277,0.83291,0.74689,0.81943,0.58194,0.88514,0.55824,0.91314,0.000388345,0.000388345,0.000388345
52,1481.59,0.98316,0.6385,0.9473,0.82631,0.74854,0.81873,0.58036,0.88005,0.55117,0.91069,0.000380732,0.000380732,0.000380732
53,1509.68,0.97973,0.6366,0.94499,0.85019,0.74548,0.82359,0.58349,0.87644,0.54696,0.91324,0.000373119,0.000373119,0.000373119
54,1538.02,0.97869,0.63517,0.94286,0.84385,0.753,0.82707,0.5859,0.87342,0.54567,0.90758,0.000365506,0.000365506,0.000365506
55,1566.53,0.97426,0.62976,0.94216,0.86041,0.74279,0.82719,0.59031,0.86831,0.54572,0.91066,0.000357893,0.000357893,0.000357893
56,1594.57,0.96874,0.62689,0.94082,0.85153,0.75621,0.82977,0.59582,0.8615,0.53985,0.90826,0.00035028,0.00035028,0.00035028
57,1622.72,0.97176,0.62421,0.93969,0.8492,0.76301,0.83274,0.59721,0.86186,0.53898,0.90786,0.000342666,0.000342666,0.000342666
58,1651.01,0.95979,0.61895,0.93725,0.84542,0.76705,0.8343,0.59829,0.85852,0.53664,0.90215,0.000335053,0.000335053,0.000335053
59,1679.49,0.95988,0.6162,0.9362,0.84817,0.76717,0.83691,0.59981,0.85625,0.53355,0.90001,0.00032744,0.00032744,0.00032744
60,1707.61,0.95713,0.61719,0.9351,0.85504,0.7633,0.83609,0.605,0.84985,0.53158,0.90031,0.000319827,0.000319827,0.000319827
61,1735.87,0.95243,0.60996,0.93354,0.84876,0.77149,0.83919,0.60382,0.84696,0.52674,0.90025,0.000312214,0.000312214,0.000312214
62,1763.89,0.95098,0.6104,0.9343,0.85744,0.77517,0.84116,0.60684,0.84388,0.52759,0.89905,0.000304601,0.000304601,0.000304601
63,1791.88,0.95357,0.60721,0.93385,0.86731,0.7705,0.84148,0.60787,0.84181,0.52456,0.89892,0.000296988,0.000296988,0.000296988
64,1820.14,0.94908,0.60772,0.93434,0.85459,0.76958,0.84016,0.61014,0.83918,0.52163,0.89853,0.000289375,0.000289375,0.000289375
65,1848.4,0.94132,0.60172,0.93052,0.85015,0.77915,0.8418,0.61287,0.83618,0.52131,0.89631,0.000281762,0.000281762,0.000281762
66,1876.73,0.94349,0.60425,0.93146,0.85042,0.77826,0.84546,0.61587,0.83172,0.5181,0.89713,0.000274148,0.000274148,0.000274148
67,1905.18,0.92674,0.59015,0.92608,0.85821,0.77618,0.84332,0.61281,0.82757,0.51578,0.89567,0.000266535,0.000266535,0.000266535
68,1933.47,0.93733,0.59558,0.92916,0.86731,0.77792,0.84636,0.6182,0.82586,0.5147,0.89644,0.000258922,0.000258922,0.000258922
69,1961.81,0.93063,0.59281,0.92601,0.86845,0.77639,0.84631,0.62027,0.8215,0.51085,0.89403,0.000251309,0.000251309,0.000251309
70,1989.85,0.93198,0.59395,0.92709,0.86413,0.78057,0.84838,0.62021,0.82102,0.51037,0.89376,0.000243696,0.000243696,0.000243696
71,2018.03,0.92623,0.58945,0.9242,0.85668,0.78223,0.84747,0.62257,0.81601,0.50734,0.89207,0.000236083,0.000236083,0.000236083
72,2046.28,0.92826,0.5891,0.92729,0.86117,0.78527,0.85088,0.62475,0.81507,0.50554,0.89099,0.00022847,0.00022847,0.00022847
73,2074.68,0.91668,0.58396,0.92355,0.87209,0.78162,0.85111,0.6263,0.81341,0.50549,0.89195,0.000220857,0.000220857,0.000220857
74,2102.68,0.91834,0.58272,0.9234,0.87728,0.77831,0.85272,0.62603,0.81053,0.50325,0.89033,0.000213244,0.000213244,0.000213244
75,2130.81,0.91455,0.58263,0.92344,0.87105,0.78295,0.85342,0.62771,0.80979,0.50237,0.89057,0.000205631,0.000205631,0.000205631
76,2159.03,0.91515,0.5828,0.92258,0.86711,0.78629,0.85376,0.62902,0.80767,0.50052,0.88585,0.000198018,0.000198018,0.000198018
77,2186.83,0.91016,0.57985,0.92148,0.86858,0.78829,0.8549,0.6321,0.80347,0.50014,0.88332,0.000190404,0.000190404,0.000190404
78,2215.07,0.90886,0.57714,0.92169,0.87183,0.78753,0.85581,0.63225,0.80004,0.49763,0.88338,0.000182791,0.000182791,0.000182791
79,2243.18,0.90354,0.57251,0.9193,0.87028,0.78944,0.85666,0.63463,0.79754,0.49606,0.88249,0.000175178,0.000175178,0.000175178
80,2271.37,0.89972,0.57005,0.91764,0.86484,0.79534,0.85706,0.63671,0.79546,0.49372,0.88082,0.000167565,0.000167565,0.000167565
81,2299.59,0.90198,0.56994,0.91829,0.88566,0.78245,0.85763,0.6371,0.79417,0.49207,0.88053,0.000159952,0.000159952,0.000159952
