epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,153.191,0.94747,0.90928,1.04078,0.73924,0.65924,0.70941,0.44832,1.18569,1.06768,1.18015,0.000424187,0.000424187,0.000424187
43,156.961,0.89693,0.86903,1.01416,0.78695,0.62692,0.70543,0.44163,1.18851,1.0626,1.17687,0.000417119,0.000417119,0.000417119
44,160.514,0.93133,0.88306,1.02197,0.75331,0.67493,0.712,0.45248,1.18462,1.05392,1.17121,0.00041005,0.00041005,0.00041005
45,163.995,0.92966,0.88468,1.02563,0.73903,0.67558,0.71002,0.44817,1.17794,1.03064,1.15999,0.000402982,0.000402982,0.000402982
46,167.407,0.94407,0.85657,1.03867,0.73101,0.61228,0.68649,0.45216,1.14725,1.07985,1.16133,0.000395913,0.000395913,0.000395913
47,170.815,0.94262,0.87292,1.03142,0.74691,0.6774,0.71508,0.45449,1.15669,1.05777,1.15842,0.000388844,0.000388844,0.000388844
48,174.308,0.91454,0.84785,1.01919,0.77011,0.65364,0.71411,0.46008,1.16177,1.04351,1.16387,0.000381776,0.000381776,0.000381776
49,177.807,0.90682,0.82648,1.02088,0.73975,0.69019,0.71229,0.4522,1.15383,1.03425,1.16359,0.000374707,0.000374707,0.000374707
50,181.196,0.88786,0.83105,1.00816,0.785,0.65367,0.72634,0.45972,1.16213,1.03377,1.16096,0.000367639,0.000367639,0.000367639
51,184.933,0.90907,0.84839,1.02223,0.7353,0.67683,0.70915,0.46048,1.13407,1.03011,1.1528,0.00036057,0.00036057,0.00036057
52,188.628,0.89944,0.82485,1.01736,0.76997,0.65827,0.71477,0.4547,1.16676,1.02603,1.15929,0.000353501,0.000353501,0.000353501
53,192.322,0.90129,0.84137,1.01644,0.80146,0.68128,0.7337,0.47575,1.13994,1.01954,1.1571,0.000346433,0.000346433,0.000346433
54,196.117,0.88966,0.80427,1.01137,0.77961,0.64343,0.70805,0.45578,1.15514,1.00748,1.15852,0.000339364,0.000339364,0.000339364
55,199.82,0.89191,0.79981,1.00182,0.79835,0.65296,0.71462,0.46248,1.15461,1.05237,1.16729,0.000332296,0.000332296,0.000332296
56,203.524,0.87432,0.78979,1.00417,0.77392,0.68998,0.73287,0.46223,1.14427,0.99424,1.152,0.000325227,0.000325227,0.000325227
57,207.202,0.869,0.78274,0.9998,0.733,0.68402,0.71068,0.45992,1.15165,1.01362,1.15559,0.000318158,0.000318158,0.000318158
58,210.887,0.87514,0.77647,1.00682,0.70896,0.69168,0.70856,0.46403,1.15398,0.99052,1.1559,0.00031109,0.00031109,0.00031109
59,214.584,0.86301,0.76522,0.99519,0.75465,0.67878,0.7314,0.4784,1.14202,0.97544,1.1557,0.000304021,0.000304021,0.000304021
60,218.372,0.87869,0.76692,0.99731,0.78547,0.69594,0.74139,0.48175,1.12965,0.97555,1.15016,0.000296953,0.000296953,0.000296953
